G141 grating,
Wavelength,Transmission
,
1.0405,1.06E-02
1.0406,1.06E-02
1.0407,1.07E-02
1.0408,1.07E-02
1.0409,1.08E-02
1.0410,1.08E-02
1.0411,1.09E-02
1.0412,1.09E-02
1.0413,1.09E-02
1.0414,1.10E-02
1.0415,1.10E-02
1.0416,1.11E-02
1.0417,1.11E-02
1.0418,1.12E-02
1.0419,1.12E-02
1.0420,1.13E-02
1.0421,1.13E-02
1.0422,1.14E-02
1.0423,1.14E-02
1.0424,1.15E-02
1.0425,1.15E-02
1.0426,1.16E-02
1.0427,1.16E-02
1.0428,1.17E-02
1.0429,1.18E-02
1.0430,1.18E-02
1.0431,1.19E-02
1.0432,1.20E-02
1.0433,1.21E-02
1.0434,1.21E-02
1.0435,1.22E-02
1.0436,1.23E-02
1.0437,1.23E-02
1.0438,1.24E-02
1.0439,1.25E-02
1.0440,1.26E-02
1.0441,1.27E-02
1.0442,1.27E-02
1.0443,1.28E-02
1.0444,1.29E-02
1.0445,1.30E-02
1.0446,1.31E-02
1.0447,1.32E-02
1.0448,1.32E-02
1.0449,1.33E-02
1.0450,1.34E-02
1.0451,1.35E-02
1.0452,1.36E-02
1.0453,1.37E-02
1.0454,1.38E-02
1.0455,1.39E-02
1.0456,1.40E-02
1.0457,1.41E-02
1.0458,1.42E-02
1.0459,1.42E-02
1.0460,1.43E-02
1.0461,1.44E-02
1.0462,1.45E-02
1.0463,1.46E-02
1.0464,1.47E-02
1.0465,1.48E-02
1.0466,1.49E-02
1.0467,1.50E-02
1.0468,1.52E-02
1.0469,1.53E-02
1.0470,1.54E-02
1.0471,1.55E-02
1.0472,1.56E-02
1.0473,1.57E-02
1.0474,1.58E-02
1.0475,1.59E-02
1.0476,1.60E-02
1.0477,1.62E-02
1.0478,1.63E-02
1.0479,1.64E-02
1.0480,1.65E-02
1.0481,1.66E-02
1.0482,1.68E-02
1.0483,1.69E-02
1.0484,1.70E-02
1.0485,1.71E-02
1.0486,1.73E-02
1.0487,1.74E-02
1.0488,1.75E-02
1.0489,1.77E-02
1.0490,1.78E-02
1.0491,1.79E-02
1.0492,1.81E-02
1.0493,1.82E-02
1.0494,1.83E-02
1.0495,1.85E-02
1.0496,1.86E-02
1.0497,1.88E-02
1.0498,1.89E-02
1.0499,1.90E-02
1.0500,1.92E-02
1.0501,1.93E-02
1.0502,1.95E-02
1.0503,1.96E-02
1.0504,1.98E-02
1.0505,1.99E-02
1.0506,2.01E-02
1.0507,2.02E-02
1.0508,2.04E-02
1.0509,2.05E-02
1.0510,2.07E-02
1.0511,2.08E-02
1.0512,2.10E-02
1.0513,2.12E-02
1.0514,2.13E-02
1.0515,2.15E-02
1.0516,2.16E-02
1.0517,2.18E-02
1.0518,2.20E-02
1.0519,2.21E-02
1.0520,2.23E-02
1.0521,2.24E-02
1.0522,2.26E-02
1.0523,2.27E-02
1.0524,2.29E-02
1.0525,2.31E-02
1.0526,2.32E-02
1.0527,2.34E-02
1.0528,2.35E-02
1.0529,2.37E-02
1.0530,2.38E-02
1.0531,2.40E-02
1.0532,2.42E-02
1.0533,2.43E-02
1.0534,2.45E-02
1.0535,2.46E-02
1.0536,2.48E-02
1.0537,2.50E-02
1.0538,2.51E-02
1.0539,2.53E-02
1.0540,2.54E-02
1.0541,2.56E-02
1.0542,2.58E-02
1.0543,2.59E-02
1.0544,2.61E-02
1.0545,2.63E-02
1.0546,2.64E-02
1.0547,2.66E-02
1.0548,2.68E-02
1.0549,2.69E-02
1.0550,2.71E-02
1.0551,2.73E-02
1.0552,2.74E-02
1.0553,2.76E-02
1.0554,2.78E-02
1.0555,2.80E-02
1.0556,2.81E-02
1.0557,2.83E-02
1.0558,2.85E-02
1.0559,2.86E-02
1.0560,2.88E-02
1.0561,2.90E-02
1.0562,2.92E-02
1.0563,2.93E-02
1.0564,2.95E-02
1.0565,2.97E-02
1.0566,2.99E-02
1.0567,3.00E-02
1.0568,3.02E-02
1.0569,3.04E-02
1.0570,3.05E-02
1.0571,3.07E-02
1.0572,3.09E-02
1.0573,3.10E-02
1.0574,3.12E-02
1.0575,3.14E-02
1.0576,3.15E-02
1.0577,3.17E-02
1.0578,3.19E-02
1.0579,3.20E-02
1.0580,3.22E-02
1.0581,3.24E-02
1.0582,3.25E-02
1.0583,3.27E-02
1.0584,3.29E-02
1.0585,3.30E-02
1.0586,3.32E-02
1.0587,3.34E-02
