# wl, Throughput, emissivity
2.2500,0.7320,0.0000
2.2550,0.7330,0.0000
2.2600,0.7341,0.0000
2.2650,0.7351,0.0000
2.2700,0.7361,0.0000
2.2750,0.7370,0.0000
2.2800,0.7380,0.0000
2.2850,0.7390,0.0000
2.2900,0.7400,0.0000
2.2950,0.7410,0.0000
2.3000,0.7419,0.0000
2.3050,0.7429,0.0000
2.3100,0.7438,0.0000
2.3150,0.7448,0.0000
2.3200,0.7457,0.0000
2.3250,0.7467,0.0000
2.3300,0.7476,0.0000
2.3350,0.7485,0.0000
2.3400,0.7495,0.0000
2.3450,0.7504,0.0000
2.3500,0.7513,0.0000
2.3550,0.7522,0.0000
2.3600,0.7531,0.0000
2.3650,0.7540,0.0000
2.3700,0.7549,0.0000
2.3750,0.7558,0.0000
2.3800,0.7567,0.0000
2.3850,0.7576,0.0000
2.3900,0.7585,0.0000
2.3950,0.7593,0.0000
2.4000,0.7602,0.0000
2.4050,0.7611,0.0000
2.4100,0.7619,0.0000
2.4150,0.7628,0.0000
2.4200,0.7637,0.0000
2.4250,0.7645,0.0000
2.4300,0.7653,0.0000
2.4350,0.7662,0.0000
2.4400,0.7670,0.0000
2.4450,0.7679,0.0000
2.4500,0.7687,0.0000
2.4550,0.7695,0.0000
2.4600,0.7703,0.0000
2.4650,0.7711,0.0000
2.4700,0.7719,0.0000
2.4750,0.7728,0.0000
2.4800,0.7736,0.0000
2.4850,0.7744,0.0000
2.4900,0.7752,0.0000
2.4950,0.7759,0.0000
2.5000,0.7767,0.0000
2.5050,0.7775,0.0000
2.5100,0.7783,0.0000
2.5150,0.7791,0.0000
2.5200,0.7798,0.0000
2.5250,0.7806,0.0000
2.5300,0.7814,0.0000
2.5350,0.7821,0.0000
2.5400,0.7829,0.0000
2.5450,0.7836,0.0000
2.5500,0.7844,0.0000
2.5550,0.7851,0.0000
2.5600,0.7859,0.0000
2.5650,0.7866,0.0000
2.5700,0.7873,0.0000
2.5750,0.7881,0.0000
2.5800,0.7888,0.0000
2.5850,0.7895,0.0000
2.5900,0.7902,0.0000
2.5950,0.7910,0.0000
2.6000,0.7917,0.0000
2.6050,0.7924,0.0000
2.6100,0.7931,0.0000
2.6150,0.7938,0.0000
2.6200,0.7945,0.0000
2.6250,0.7952,0.0000
2.6300,0.7959,0.0000
2.6350,0.7966,0.0000
2.6400,0.7973,0.0000
2.6450,0.7979,0.0000
2.6500,0.7986,0.0000
2.6550,0.7993,0.0000
2.6600,0.8000,0.0000
2.6650,0.8006,0.0000
2.6700,0.8013,0.0000
2.6750,0.8020,0.0000
2.6800,0.8026,0.0000
2.6850,0.8033,0.0000
2.6900,0.8039,0.0000
2.6950,0.8046,0.0000
2.7000,0.8052,0.0000
2.7050,0.8059,0.0000
2.7100,0.8065,0.0000
2.7150,0.8072,0.0000
2.7200,0.8078,0.0000
2.7250,0.8084,0.0000
2.7300,0.8091,0.0000
2.7350,0.8097,0.0000
2.7400,0.8103,0.0000
2.7450,0.8109,0.0000
2.7500,0.8115,0.0000
2.7550,0.8122,0.0000
2.7600,0.8128,0.0000
2.7650,0.8134,0.0000
2.7700,0.8140,0.0000
2.7750,0.8146,0.0000
2.7800,0.8152,0.0000
2.7850,0.8158,0.0000
2.7900,0.8164,0.0000
2.7950,0.8170,0.0000
2.8000,0.8176,0.0000
2.8050,0.8182,0.0000
2.8100,0.8187,0.0000
2.8150,0.8193,0.0000
2.8200,0.8199,0.0000
2.8250,0.8205,0.0000
2.8300,0.8210,0.0000
2.8350,0.8216,0.0000
2.8400,0.8222,0.0000
2.8450,0.8228,0.0000
2.8500,0.8233,0.0000
2.8550,0.8239,0.0000
2.8600,0.8244,0.0000
2.8650,0.8250,0.0000
2.8700,0.8255,0.0000
2.8750,0.8261,0.0000
2.8800,0.8266,0.0000
2.8850,0.8272,0.0000
2.8900,0.8277,0.0000
2.8950,0.8283,0.0000
2.9000,0.8288,0.0000
2.9050,0.8293,0.0000
2.9100,0.8299,0.0000
2.9150,0.8304,0.0000
