# lambda [um], beta [deg], x [micron]
1.156156156,310.8883055,310.8883055
1.157357357,309.7400729,309.7400729
1.158558559,308.5944358,308.5944358
1.15975976,307.451379,307.451379
1.160960961,306.3108876,306.3108876
1.162162162,305.1729466,305.1729466
1.163363363,304.0375411,304.0375411
1.164564565,302.9046564,302.9046564
1.165765766,301.7742777,301.7742777
1.166966967,300.6463906,300.6463906
1.168168168,299.5209803,299.5209803
1.169369369,298.3980326,298.3980326
1.170570571,297.2775331,297.2775331
1.171771772,296.1594675,296.1594675
1.172972973,295.0438216,295.0438216
1.174174174,293.9305814,293.9305814
1.175375375,292.8197327,292.8197327
1.176576577,291.7112617,291.7112617
1.177777778,290.6051546,290.6051546
1.178978979,289.5013974,289.5013974
1.18018018,288.3999767,288.3999767
1.181381381,287.3008786,287.3008786
1.182582583,286.2040898,286.2040898
1.183783784,285.1095967,285.1095967
1.184984985,284.0173861,284.0173861
1.186186186,282.9274444,282.9274444
1.187387387,281.8397587,281.8397587
1.188588589,280.7543157,280.7543157
1.18978979,279.6711023,279.6711023
1.190990991,278.5901056,278.5901056
1.192192192,277.5113127,277.5113127
1.193393393,276.4347108,276.4347108
1.194594595,275.360287,275.360287
1.195795796,274.2880287,274.2880287
1.196996997,273.2179234,273.2179234
1.198198198,272.1499584,272.1499584
1.199399399,271.0841213,271.0841213
1.200600601,270.0203998,270.0203998
1.201801802,268.9587815,268.9587815
1.203003003,267.8992543,267.8992543
1.204204204,266.8418058,266.8418058
1.205405405,265.7864242,265.7864242
1.206606607,264.7330972,264.7330972
1.207807808,263.6818131,263.6818131
1.209009009,262.6325599,262.6325599
1.21021021,261.5853259,261.5853259
1.211411411,260.5400993,260.5400993
1.212612613,259.4968684,259.4968684
1.213813814,258.4556217,258.4556217
1.215015015,257.4163476,257.4163476
1.216216216,256.3790347,256.3790347
1.217417417,255.3436717,255.3436717
1.218618619,254.3102472,254.3102472
1.21981982,253.2787499,253.2787499
1.221021021,252.2491688,252.2491688
1.222222222,251.2214926,251.2214926
1.223423423,250.1957105,250.1957105
1.224624625,249.1718113,249.1718113
1.225825826,248.1497842,248.1497842
1.227027027,247.1296183,247.1296183
1.228228228,246.1113029,246.1113029
1.229429429,245.0948274,245.0948274
1.230630631,244.0801809,244.0801809
1.231831832,243.067353,243.067353
1.233033033,242.0563332,242.0563332
1.234234234,241.0471109,241.0471109
1.235435435,240.0396759,240.0396759
1.236636637,239.0340179,239.0340179
1.237837838,238.0301264,238.0301264
1.239039039,237.0279915,237.0279915
1.24024024,236.0276028,236.0276028
1.241441441,235.0289505,235.0289505
1.242642643,234.0320244,234.0320244
1.243843844,233.0368146,233.0368146
1.245045045,232.0433113,232.0433113
1.246246246,231.0515046,231.0515046
1.247447447,230.0613847,230.0613847
1.248648649,229.0729421,229.0729421
1.24984985,228.0861669,228.0861669
1.251051051,227.1010497,227.1010497
1.252252252,226.1175809,226.1175809
1.253453453,225.1357511,225.1357511
1.254654655,224.1555509,224.1555509
1.255855856,223.1769709,223.1769709
1.257057057,222.2000018,222.2000018
1.258258258,221.2246344,221.2246344
1.259459459,220.2508595,220.2508595
1.260660661,219.2786681,219.2786681
1.261861862,218.3080511,218.3080511
1.263063063,217.3389994,217.3389994
1.264264264,216.3715041,216.3715041
1.265465465,215.4055564,215.4055564
1.266666667,214.4411473,214.4411473
1.267867868,213.4782682,213.4782682
1.269069069,212.5169103,212.5169103
1.27027027,211.5570649,211.5570649
1.271471471,210.5987235,210.5987235
1.272672673,209.6418774,209.6418774
1.273873874,208.6865182,208.6865182
1.275075075,207.7326373,207.7326373
1.276276276,206.7802265,206.7802265
