# lambda [um], beta [deg], x [micron]
1.370000e+00,2.252485e-02,7.076391e+01
1.375000e+00,2.214109e-02,6.955830e+01
1.380000e+00,2.175594e-02,6.834831e+01
1.385000e+00,2.136939e-02,6.713392e+01
1.390000e+00,2.098144e-02,6.591514e+01
1.395000e+00,2.059209e-02,6.469197e+01
1.400000e+00,2.020135e-02,6.346440e+01
1.405000e+00,1.980920e-02,6.223245e+01
1.410000e+00,1.941566e-02,6.099610e+01
1.415000e+00,1.902072e-02,5.975536e+01
1.420000e+00,1.862438e-02,5.851023e+01
1.425000e+00,1.822665e-02,5.726070e+01
1.430000e+00,1.782751e-02,5.600679e+01
1.435000e+00,1.742698e-02,5.474848e+01
1.440000e+00,1.702505e-02,5.348578e+01
1.445000e+00,1.662172e-02,5.221869e+01
1.450000e+00,1.621700e-02,5.094720e+01
1.455000e+00,1.581087e-02,4.967133e+01
1.460000e+00,1.540335e-02,4.839106e+01
1.465000e+00,1.499443e-02,4.710640e+01
1.470000e+00,1.458411e-02,4.581734e+01
1.475000e+00,1.417240e-02,4.452390e+01
1.480000e+00,1.375928e-02,4.322606e+01
1.485000e+00,1.334477e-02,4.192384e+01
1.490000e+00,1.292886e-02,4.061722e+01
1.495000e+00,1.251155e-02,3.930620e+01
1.500000e+00,1.209285e-02,3.799080e+01
1.505000e+00,1.167274e-02,3.667100e+01
1.510000e+00,1.125124e-02,3.534682e+01
1.515000e+00,1.082834e-02,3.401824e+01
1.520000e+00,1.040404e-02,3.268526e+01
1.525000e+00,9.978346e-03,3.134790e+01
1.530000e+00,9.551252e-03,3.000614e+01
1.535000e+00,9.122760e-03,2.866000e+01
1.540000e+00,8.692870e-03,2.730946e+01
1.545000e+00,8.261582e-03,2.595452e+01
1.550000e+00,7.828895e-03,2.459520e+01
1.555000e+00,7.394811e-03,2.323148e+01
1.560000e+00,6.959329e-03,2.186338e+01
1.565000e+00,6.522448e-03,2.049088e+01
1.570000e+00,6.084170e-03,1.911398e+01
1.575000e+00,5.644494e-03,1.773270e+01
1.580000e+00,5.203419e-03,1.634702e+01
1.585000e+00,4.760947e-03,1.495696e+01
1.590000e+00,4.317077e-03,1.356250e+01
1.595000e+00,3.871808e-03,1.216364e+01
1.600000e+00,3.425142e-03,1.076040e+01
1.605000e+00,2.977077e-03,9.352764e+00
1.610000e+00,2.527615e-03,7.940736e+00
1.615000e+00,2.076754e-03,6.524316e+00
