# wl, TX, emissivity
2.29,0.90,0.03
2.29,0.90,0.03
2.30,0.90,0.03
2.30,0.90,0.03
2.31,0.90,0.03
2.31,0.90,0.03
2.32,0.90,0.03
2.32,0.90,0.03
2.33,0.90,0.03
2.33,0.90,0.03
2.34,0.90,0.03
2.34,0.90,0.03
2.35,0.90,0.03
2.35,0.90,0.03
2.36,0.90,0.03
2.36,0.90,0.03
2.37,0.90,0.03
2.37,0.90,0.03
2.38,0.90,0.03
2.38,0.90,0.03
2.39,0.90,0.03
2.39,0.90,0.03
2.40,0.90,0.03
2.40,0.90,0.03
2.41,0.90,0.03
2.41,0.90,0.03
2.42,0.90,0.03
2.42,0.90,0.03
2.43,0.90,0.03
2.43,0.90,0.03
2.44,0.90,0.03
2.44,0.90,0.03
2.45,0.90,0.03
2.45,0.90,0.03
2.46,0.90,0.03
2.46,0.90,0.03
2.47,0.90,0.03
2.47,0.90,0.03
2.48,0.90,0.03
2.48,0.90,0.03
2.49,0.90,0.03
2.49,0.90,0.03
2.50,0.90,0.03
2.50,0.90,0.03
2.51,0.90,0.03
2.51,0.90,0.03
2.52,0.90,0.03
2.52,0.90,0.03
2.53,0.90,0.03
2.53,0.90,0.03
2.54,0.90,0.03
2.54,0.90,0.03
2.55,0.90,0.03
2.55,0.90,0.03
2.56,0.90,0.03
2.56,0.90,0.03
2.57,0.90,0.03
2.57,0.90,0.03
2.58,0.90,0.03
2.58,0.90,0.03
2.59,0.90,0.03
2.59,0.90,0.03
2.60,0.90,0.03
2.60,0.90,0.03
2.61,0.90,0.03
2.61,0.90,0.03
2.62,0.90,0.03
2.62,0.90,0.03
2.63,0.90,0.03
2.63,0.90,0.03
2.64,0.90,0.03
2.64,0.90,0.03
2.65,0.90,0.03
2.65,0.90,0.03
2.66,0.90,0.03
2.66,0.90,0.03
2.67,0.90,0.03
2.67,0.90,0.03
2.68,0.90,0.03
2.68,0.90,0.03
2.69,0.90,0.03
2.69,0.90,0.03
2.70,0.90,0.03
2.70,0.90,0.03
2.71,0.90,0.03
2.71,0.90,0.03
2.72,0.90,0.03
2.72,0.90,0.03
2.73,0.90,0.03
2.73,0.90,0.03
2.74,0.90,0.03
2.74,0.90,0.03
2.75,0.90,0.03
2.75,0.90,0.03
2.76,0.90,0.03
2.76,0.90,0.03
2.77,0.90,0.03
2.77,0.90,0.03
2.78,0.90,0.03
2.78,0.90,0.03
2.79,0.90,0.03
2.79,0.90,0.03
2.80,0.90,0.03
2.80,0.90,0.03
2.81,0.90,0.03
2.81,0.90,0.03
2.82,0.90,0.03
2.82,0.90,0.03
2.83,0.90,0.03
2.83,0.90,0.03
2.84,0.90,0.03
2.84,0.90,0.03
2.85,0.90,0.03
2.85,0.90,0.03
2.86,0.90,0.03
2.86,0.90,0.03
2.87,0.90,0.03
2.87,0.90,0.03
2.88,0.90,0.03
