# lambda [um], beta [deg], x [micron]
1.435000e+00,1.113058e+00,1.107451e+03
1.440000e+00,1.112465e+00,1.106861e+03
1.445000e+00,1.111873e+00,1.106272e+03
1.450000e+00,1.111281e+00,1.105682e+03
1.455000e+00,1.110689e+00,1.105094e+03
1.460000e+00,1.110098e+00,1.104505e+03
1.465000e+00,1.109507e+00,1.103917e+03
1.470000e+00,1.108916e+00,1.103329e+03
1.475000e+00,1.108326e+00,1.102742e+03
1.480000e+00,1.107736e+00,1.102155e+03
1.485000e+00,1.107147e+00,1.101568e+03
1.490000e+00,1.106557e+00,1.100982e+03
1.495000e+00,1.105968e+00,1.100395e+03
1.500000e+00,1.105379e+00,1.099809e+03
1.505000e+00,1.104790e+00,1.099223e+03
1.510000e+00,1.104202e+00,1.098637e+03
1.515000e+00,1.103613e+00,1.098052e+03
1.520000e+00,1.103025e+00,1.097466e+03
1.525000e+00,1.102437e+00,1.096881e+03
1.530000e+00,1.101849e+00,1.096296e+03
1.535000e+00,1.101260e+00,1.095710e+03
1.540000e+00,1.100672e+00,1.095125e+03
1.545000e+00,1.100084e+00,1.094540e+03
1.550000e+00,1.099496e+00,1.093955e+03
1.555000e+00,1.098908e+00,1.093369e+03
1.560000e+00,1.098320e+00,1.092784e+03
1.565000e+00,1.097732e+00,1.092199e+03
1.570000e+00,1.097144e+00,1.091613e+03
1.575000e+00,1.096555e+00,1.091028e+03
1.580000e+00,1.095967e+00,1.090442e+03
1.585000e+00,1.095378e+00,1.089857e+03
1.590000e+00,1.094790e+00,1.089271e+03
1.595000e+00,1.094201e+00,1.088685e+03
1.600000e+00,1.093612e+00,1.088098e+03
1.605000e+00,1.093023e+00,1.087512e+03
1.610000e+00,1.092433e+00,1.086926e+03
1.615000e+00,1.091844e+00,1.086339e+03
1.620000e+00,1.091254e+00,1.085752e+03
1.625000e+00,1.090664e+00,1.085164e+03
1.630000e+00,1.090073e+00,1.084577e+03
1.635000e+00,1.089483e+00,1.083989e+03
1.640000e+00,1.088892e+00,1.083401e+03
1.645000e+00,1.088300e+00,1.082812e+03
1.650000e+00,1.087709e+00,1.082224e+03
1.655000e+00,1.087117e+00,1.081635e+03
1.660000e+00,1.086525e+00,1.081045e+03
1.665000e+00,1.085932e+00,1.080455e+03
1.670000e+00,1.085339e+00,1.079865e+03
1.675000e+00,1.084745e+00,1.079275e+03
1.680000e+00,1.084152e+00,1.078684e+03
1.685000e+00,1.083557e+00,1.078092e+03
1.690000e+00,1.082963e+00,1.077500e+03
1.695000e+00,1.082368e+00,1.076908e+03
1.700000e+00,1.081772e+00,1.076316e+03
1.705000e+00,1.081176e+00,1.075722e+03
1.710000e+00,1.080580e+00,1.075129e+03
1.715000e+00,1.079983e+00,1.074535e+03
1.720000e+00,1.079385e+00,1.073940e+03
1.725000e+00,1.078787e+00,1.073345e+03
1.730000e+00,1.078189e+00,1.072749e+03
1.735000e+00,1.077590e+00,1.072153e+03
1.740000e+00,1.076990e+00,1.071556e+03
1.745000e+00,1.076390e+00,1.070959e+03
1.750000e+00,1.075789e+00,1.070361e+03
1.755000e+00,1.075188e+00,1.069763e+03
1.760000e+00,1.074586e+00,1.069164e+03
1.765000e+00,1.073984e+00,1.068564e+03
1.770000e+00,1.073381e+00,1.067964e+03
1.775000e+00,1.072777e+00,1.067364e+03
1.780000e+00,1.072173e+00,1.066762e+03
1.785000e+00,1.071568e+00,1.066160e+03
1.790000e+00,1.070962e+00,1.065558e+03
1.795000e+00,1.070356e+00,1.064954e+03
1.800000e+00,1.069749e+00,1.064350e+03
1.805000e+00,1.069141e+00,1.063746e+03
1.810000e+00,1.068533e+00,1.063140e+03
1.815000e+00,1.067924e+00,1.062534e+03
1.820000e+00,1.067315e+00,1.061928e+03
1.825000e+00,1.066704e+00,1.061320e+03
1.830000e+00,1.066093e+00,1.060712e+03
1.835000e+00,1.065482e+00,1.060104e+03
1.840000e+00,1.064869e+00,1.059494e+03
1.845000e+00,1.064256e+00,1.058884e+03
1.850000e+00,1.063642e+00,1.058273e+03
1.855000e+00,1.063027e+00,1.057661e+03
1.860000e+00,1.062412e+00,1.057049e+03
1.865000e+00,1.061796e+00,1.056435e+03
1.870000e+00,1.061179e+00,1.055821e+03
1.875000e+00,1.060561e+00,1.055207e+03
1.880000e+00,1.059942e+00,1.054591e+03
1.885000e+00,1.059323e+00,1.053975e+03
1.890000e+00,1.058703e+00,1.053357e+03
1.895000e+00,1.058082e+00,1.052739e+03
1.900000e+00,1.057460e+00,1.052121e+03
1.905000e+00,1.056838e+00,1.051501e+03
1.910000e+00,1.056214e+00,1.050881e+03
1.915000e+00,1.055590e+00,1.050259e+03
1.920000e+00,1.054965e+00,1.049637e+03
1.925000e+00,1.054339e+00,1.049014e+03
1.930000e+00,1.053712e+00,1.048390e+03
1.935000e+00,1.053084e+00,1.047766e+03
1.940000e+00,1.052456e+00,1.047140e+03
1.945000e+00,1.051826e+00,1.046514e+03
1.950000e+00,1.051196e+00,1.045887e+03
1.955000e+00,1.050565e+00,1.045258e+03
1.960000e+00,1.049932e+00,1.044629e+03
1.965000e+00,1.049299e+00,1.043999e+03
1.970000e+00,1.048666e+00,1.043368e+03
1.975000e+00,1.048031e+00,1.042737e+03
1.980000e+00,1.047395e+00,1.042104e+03
1.985000e+00,1.046758e+00,1.041470e+03
1.990000e+00,1.046121e+00,1.040836e+03
1.995000e+00,1.045482e+00,1.040200e+03
2.000000e+00,1.044843e+00,1.039564e+03
2.005000e+00,1.044202e+00,1.038927e+03
2.010000e+00,1.043561e+00,1.038288e+03
2.015000e+00,1.042919e+00,1.037649e+03
2.020000e+00,1.042275e+00,1.037009e+03
2.025000e+00,1.041631e+00,1.036368e+03
2.030000e+00,1.040986e+00,1.035726e+03
2.035000e+00,1.040340e+00,1.035083e+03
2.040000e+00,1.039692e+00,1.034439e+03
2.045000e+00,1.039044e+00,1.033794e+03
2.050000e+00,1.038395e+00,1.033148e+03
2.055000e+00,1.037745e+00,1.032501e+03
2.060000e+00,1.037094e+00,1.031853e+03
2.065000e+00,1.036442e+00,1.031204e+03
2.070000e+00,1.035788e+00,1.030554e+03
2.075000e+00,1.035134e+00,1.029903e+03
2.080000e+00,1.034479e+00,1.029251e+03
2.085000e+00,1.033823e+00,1.028598e+03
2.090000e+00,1.033166e+00,1.027943e+03
2.095000e+00,1.032507e+00,1.027288e+03
2.100000e+00,1.031848e+00,1.026632e+03
2.105000e+00,1.031188e+00,1.025975e+03
2.110000e+00,1.030526e+00,1.025317e+03
2.115000e+00,1.029864e+00,1.024658e+03
2.120000e+00,1.029200e+00,1.023997e+03
2.125000e+00,1.028536e+00,1.023336e+03
2.130000e+00,1.027870e+00,1.022674e+03
2.135000e+00,1.027203e+00,1.022010e+03
2.140000e+00,1.026536e+00,1.021346e+03
2.145000e+00,1.025867e+00,1.020680e+03
2.150000e+00,1.025197e+00,1.020013e+03
2.155000e+00,1.024526e+00,1.019346e+03
2.160000e+00,1.023854e+00,1.018677e+03
2.165000e+00,1.023181e+00,1.018007e+03
2.170000e+00,1.022507e+00,1.017336e+03
2.175000e+00,1.021831e+00,1.016664e+03
2.180000e+00,1.021155e+00,1.015991e+03
2.185000e+00,1.020477e+00,1.015317e+03
2.190000e+00,1.019799e+00,1.014641e+03
2.195000e+00,1.019119e+00,1.013965e+03
2.200000e+00,1.018438e+00,1.013287e+03
2.205000e+00,1.017756e+00,1.012609e+03
2.210000e+00,1.017073e+00,1.011929e+03
2.215000e+00,1.016389e+00,1.011248e+03
2.220000e+00,1.015703e+00,1.010566e+03
2.225000e+00,1.015017e+00,1.009883e+03
2.230000e+00,1.014329e+00,1.009198e+03
2.235000e+00,1.013641e+00,1.008513e+03
2.240000e+00,1.012951e+00,1.007826e+03
2.245000e+00,1.012260e+00,1.007139e+03
2.250000e+00,1.011567e+00,1.006450e+03
2.255000e+00,1.010874e+00,1.005760e+03
2.260000e+00,1.010180e+00,1.005069e+03
2.265000e+00,1.009484e+00,1.004377e+03
